,open_time,open,high,low,close,volume,close_time,quote_asset_volume,no_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
350,1629807300000,3311.95,3327.39,3308.39,3309.90,23241.708,1629808199999,77110205.67728,28589,10467.778,34738214.92824
351,1629808200000,3309.69,3317.79,3302.00,3316.18,25242.828,1629809099999,83516437.85913,30572,12540.526,41499132.03204
352,1629809100000,3316.18,3322.70,3310.06,3322.37,14902.490,1629809999999,49436569.64571,21417,7279.181,24148917.54019
353,1629810000000,3322.37,3324.76,3305.30,3305.59,18595.586,1629810899999,61623449.70436,27613,7432.293,24631150.64155
354,1629810900000,3305.58,3311.30,3288.03,3288.83,42402.030,1629811799999,139864257.36409,50404,17031.437,56185437.97654
355,1629811800000,3288.82,3288.83,3250.12,3264.41,119937.340,1629812699999,391875106.57339,132938,54826.709,179113709.08455
356,1629812700000,3264.40,3264.41,3243.33,3254.90,57601.557,1629813599999,187511609.18393,67909,27078.923,88162948.08845
357,1629813600000,3254.99,3255.60,3233.00,3233.98,58488.148,1629814499999,189796722.22815,67929,24123.033,78312268.11942
358,1629814500000,3233.99,3253.83,3224.00,3253.58,63048.247,1629815399999,204347110.49045,71239,31611.032,102487384.78862
359,1629815400000,3253.58,3258.00,3247.07,3254.79,36761.738,1629816299999,119621965.70689,41488,19196.144,62474154.85371
360,1629816300000,3255.05,3255.12,3238.66,3241.40,23874.163,1629817199999,77488777.01832,30589,10525.988,34164266.81601
361,1629817200000,3241.39,3248.55,3230.00,3240.99,31373.457,1629818099999,101609884.83133,36178,15667.705,50747878.66901
362,1629818100000,3240.99,3246.00,3232.12,3245.51,21928.407,1629818999999,70991832.32482,29263,11994.422,38835755.73714
363,1629819000000,3245.51,3245.75,3212.22,3229.12,56453.458,1629819899999,182288238.39419,53257,24026.824,77596631.56635
364,1629819900000,3229.12,3233.08,3205.00,3215.96,59713.025,1629820799999,192101070.15113,59090,29595.396,95250525.52072
365,1629820800000,3215.98,3216.52,3173.59,3174.16,140417.775,1629821699999,448750962.82966,131620,63336.809,202457383.08018
366,1629821700000,3174.07,3184.00,3145.00,3179.73,120828.068,1629822599999,382508582.14413,119904,55874.777,176966896.28054
367,1629822600000,3179.88,3188.88,3169.93,3175.25,41385.678,1629823499999,131677033.15817,44522,19555.333,62234038.35556
368,1629823500000,3175.24,3181.70,3158.70,3169.64,45212.872,1629824399999,143312138.36146,45647,21944.988,69574411.89324
369,1629824400000,3169.41,3187.52,3162.31,3186.76,33169.030,1629825299999,105484130.97707,39097,18867.666,60001365.37972
370,1629825300000,3186.77,3204.66,3181.02,3199.15,44859.994,1629826199999,143369971.04382,43290,25330.675,80954635.53733
371,1629826200000,3199.15,3199.15,3185.14,3188.92,26222.800,1629827099999,83675200.53678,25577,11696.592,37327379.48947
372,1629827100000,3188.93,3192.41,3180.00,3180.28,19351.353,1629827999999,61633231.56114,23053,8284.876,26393191.98903
373,1629828000000,3180.28,3191.00,3168.90,3177.66,27334.685,1629828899999,86931661.95321,30938,11499.483,36578605.88888
374,1629828900000,3177.66,3195.00,3176.81,3180.23,15723.933,1629829799999,50086757.59036,20916,7512.230,23929911.35599
375,1629829800000,3180.51,3186.61,3165.00,3184.28,26870.643,1629830699999,85282508.86868,29425,14160.561,44942556.02617
376,1629830700000,3184.28,3191.64,3170.99,3190.71,14278.639,1629831599999,45423324.04671,22760,6670.386,21220990.23908
377,1629831600000,3190.71,3197.91,3186.88,3190.35,18549.952,1629832499999,59221815.92311,27362,9674.753,30889550.36074
378,1629832500000,3190.35,3190.61,3172.71,3174.29,17393.027,1629833399999,55295074.27147,24120,7353.268,23375183.25537
379,1629833400000,3174.28,3202.00,3170.77,3184.02,35836.860,1629834299999,114319012.75052,33166,20022.896,63845412.10188
380,1629834300000,3183.96,3235.00,3183.35,3220.50,89326.347,1629835199999,287578121.13919,72086,47606.317,153172322.49622
381,1629835200000,3220.49,3220.79,3191.07,3213.69,43451.086,1629836099999,139142871.25331,46385,19843.003,63535125.01921
382,1629836100000,3213.60,3220.49,3205.00,3217.35,14639.010,1629836999999,47009526.70047,23005,7243.623,23265295.86491
383,1629837000000,3217.35,3224.02,3212.79,3216.91,14645.368,1629837899999,47133173.25738,22202,6836.202,22006487.58105
384,1629837900000,3216.92,3222.56,3214.14,3219.20,10848.340,1629838799999,34909503.33671,17070,6088.821,19596454.61681
385,1629838800000,3219.20,3222.77,3201.99,3207.36,14071.900,1629839699999,45195884.42369,21658,5531.087,17768077.66159
386,1629839700000,3207.37,3212.46,3198.21,3206.22,12828.641,1629840599999,41095767.71251,20460,6323.529,20261204.79376
387,1629840600000,3206.22,3213.73,3203.44,3207.30,7906.274,1629841499999,25360113.88220,17053,4043.597,12970656.44815
388,1629841500000,3207.30,3207.80,3177.50,3200.96,23147.595,1629842399999,73832994.87443,29652,8756.562,27936306.29085
389,1629842400000,3200.96,3218.34,3192.94,3215.81,14992.338,1629843299999,48123796.44368,22779,7712.966,24757888.72248
390,1629843300000,3215.82,3228.38,3214.72,3217.17,16116.515,1629844199999,51925135.87771,24073,8785.627,28304758.66907
391,1629844200000,3217.16,3217.90,3199.55,3208.35,13384.968,1629845099999,42915792.55960,19033,6938.145,22242545.13868
392,1629845100000,3208.35,3218.67,3201.09,3217.79,7118.044,1629845999999,22854185.79451,15837,3531.967,11340508.53951
393,1629846000000,3217.80,3221.77,3205.00,3207.63,11632.758,1629846899999,37400297.23064,20324,4670.733,15022049.10858
394,1629846900000,3207.64,3209.49,3188.30,3189.79,19904.349,1629847799999,63616431.56830,26727,8810.286,28160094.92260
395,1629847800000,3189.78,3199.16,3175.80,3177.01,16613.105,1629848699999,52955095.17039,25073,6218.908,19833978.66864
396,1629848700000,3177.02,3181.92,3167.36,3173.98,28476.290,1629849599999,90397355.33804,38867,14078.196,44698220.79524
397,1629849600000,3173.99,3203.08,3171.68,3200.16,38154.789,1629850499999,121700227.75029,42295,18910.446,60326226.59725
398,1629850500000,3200.17,3217.00,3176.76,3182.15,34819.560,1629851399999,111372484.18769,42529,15598.079,49922964.01751
399,1629851400000,3181.90,3206.02,3181.90,3194.46,19196.840,1629852299999,61351094.18600,29253,10572.768,33784933.45632
400,1629852300000,3194.47,3208.05,3191.40,3198.17,10960.479,1629853199999,35096090.69404,19464,4855.051,15551051.58931
401,1629853200000,3198.18,3198.18,3171.64,3176.19,25640.270,1629854099999,81572399.99066,31839,11620.444,36954901.66858
402,1629854100000,3176.20,3183.70,3170.64,3179.54,11878.001,1629854999999,37759307.74172,20733,6558.727,20852900.99027
403,1629855000000,3179.51,3195.62,3177.48,3193.99,13040.383,1629855899999,41586082.00247,19609,6766.632,21579597.72482
404,1629855900000,3194.00,3207.74,3187.96,3206.41,18293.771,1629856799999,58505011.93431,25012,11071.448,35416476.17522
405,1629856800000,3206.41,3212.25,3197.50,3207.63,16201.749,1629857699999,51934181.64033,23776,7928.687,25417094.67375
406,1629857700000,3207.63,3208.46,3193.42,3198.06,11905.862,1629858599999,38098991.35409,19397,5124.115,16393630.92496
407,1629858600000,3198.06,3215.94,3198.06,3211.69,18414.125,1629859499999,59118646.52121,25737,10786.218,34632408.79524
408,1629859500000,3211.69,3219.49,3206.11,3207.50,13158.320,1629860399999,42272707.40583,19299,6750.534,21690636.80410
409,1629860400000,3207.49,3209.48,3194.00,3196.10,13217.226,1629861299999,42315709.56836,21520,5374.932,17211037.13731
410,1629861300000,3196.10,3206.18,3194.11,3203.70,9618.211,1629862199999,30774286.72772,15912,5928.724,18971539.57082
411,1629862200000,3203.71,3206.64,3191.00,3196.34,10043.100,1629863099999,32122300.12655,16773,4303.094,13764220.21814
412,1629863100000,3196.34,3201.07,3175.00,3177.00,26199.199,1629863999999,83397212.69884,32113,10479.652,33356879.97935
413,1629864000000,3176.99,3194.70,3171.03,3186.45,22914.106,1629864899999,72961117.68156,30667,12010.669,38251089.55917
414,1629864900000,3186.46,3192.33,3162.86,3166.29,24295.125,1629865799999,77107480.67247,31107,7346.732,23325531.60332
415,1629865800000,3166.30,3178.38,3161.00,3174.48,21370.819,1629866699999,67739090.79071,28165,12083.490,38302159.81701
416,1629866700000,3174.49,3181.99,3167.29,3177.21,13357.378,1629867599999,42416520.66183,21071,6656.827,21141937.14883
417,1629867600000,3177.00,3189.44,3175.73,3186.56,13986.452,1629868499999,44535390.91385,21977,7572.032,24109928.24630
418,1629868500000,3186.46,3196.26,3185.97,3193.01,15529.610,1629869399999,49565854.45055,21014,8655.137,27623535.45003
419,1629869400000,3193.09,3209.72,3193.09,3207.97,23754.451,1629870299999,76085616.43804,27255,13171.581,42193427.28961
420,1629870300000,3207.97,3219.00,3205.03,3213.86,27213.004,1629871199999,87397175.86281,33323,13333.668,42824979.23650
421,1629871200000,3213.85,3224.74,3207.38,3213.62,27181.055,1629872099999,87424393.10802,32475,13163.127,42349390.22542
422,1629872100000,3213.62,3217.59,3201.23,3207.97,15140.398,1629872999999,48547453.75126,22164,7995.748,25640000.27761
423,1629873000000,3207.98,3219.41,3204.05,3217.74,12616.073,1629873899999,40529267.11076,20045,6484.327,20832513.63040
424,1629873900000,3217.74,3220.25,3202.24,3202.50,15461.703,1629874799999,49617565.23980,19676,5864.534,18827012.01991
425,1629874800000,3202.50,3213.60,3202.50,3206.90,11874.138,1629875699999,38088206.86982,16186,5771.792,18516563.26658
426,1629875700000,3206.89,3214.00,3205.00,3205.00,11217.934,1629876599999,35982053.02215,14123,3981.006,12772906.82682
427,1629876600000,3205.01,3206.51,3175.16,3180.31,43691.302,1629877499999,139421269.50580,42653,15357.344,48992792.22332
428,1629877500000,3180.31,3191.27,3176.19,3185.04,20346.315,1629878399999,64766902.43199,24690,11220.817,35724474.61064
429,1629878400000,3185.04,3191.55,3172.02,3175.91,29161.392,1629879299999,92716794.32863,30691,12594.141,40057298.12800
430,1629879300000,3175.90,3179.04,3161.00,3165.48,43161.833,1629880199999,136781738.33477,40186,17611.650,55813748.53846
431,1629880200000,3165.48,3171.13,3110.02,3120.38,141335.404,1629881099999,443456752.46512,128970,60103.081,188487699.85161
432,1629881100000,3120.37,3131.59,3101.00,3104.27,82483.373,1629881999999,257190002.01795,72922,32444.251,101209963.24867
433,1629882000000,3104.27,3115.78,3078.52,3108.30,108093.175,1629882899999,334923225.45788,111208,53655.023,166314278.05640
434,1629882900000,3108.31,3119.53,3102.49,3102.73,35418.154,1629883799999,110238103.32687,41454,16478.343,51295450.16107
