,lastUpdateId,E,T,bids,asks
109,722823590005,1630855043709,1630855043699,"['3920.24', '0.040']","['3925.75', '46.417']"
110,722823590005,1630855043709,1630855043699,"['3920.23', '1.275']","['3925.77', '0.313']"
111,722823590005,1630855043709,1630855043699,"['3920.19', '0.178']","['3925.78', '7.500']"
112,722823590005,1630855043709,1630855043699,"['3920.16', '5.098']","['3925.79', '6.128']"
113,722823590005,1630855043709,1630855043699,"['3920.15', '2.599']","['3925.80', '46.397']"
114,722823590005,1630855043709,1630855043699,"['3920.14', '2.549']","['3925.82', '0.020']"
115,722823590005,1630855043709,1630855043699,"['3920.13', '18.231']","['3925.83', '0.511']"
116,722823590005,1630855043709,1630855043699,"['3920.12', '63.704']","['3925.84', '6.047']"
117,722823590005,1630855043709,1630855043699,"['3920.11', '1.274']","['3925.86', '16.685']"
118,722823590005,1630855043709,1630855043699,"['3920.10', '0.043']","['3925.88', '4.000']"
119,722823590005,1630855043709,1630855043699,"['3920.07', '0.211']","['3925.94', '0.292']"
120,722823590005,1630855043709,1630855043699,"['3920.06', '25.698']","['3925.95', '0.003']"
121,722823590005,1630855043709,1630855043699,"['3920.04', '18.474']","['3925.96', '27.938']"
122,722823590005,1630855043709,1630855043699,"['3920.03', '2.552']","['3925.97', '5.002']"
123,722823590005,1630855043709,1630855043699,"['3920.01', '12.992']","['3925.99', '0.012']"
124,722823590005,1630855043709,1630855043699,"['3920.00', '33.260']","['3926.00', '6.723']"
125,722823590005,1630855043709,1630855043699,"['3919.96', '0.936']","['3926.01', '0.681']"
126,722823590005,1630855043709,1630855043699,"['3919.93', '5.000']","['3926.03', '7.246']"
127,722823590005,1630855043709,1630855043699,"['3919.92', '0.013']","['3926.04', '5.167']"
128,722823590005,1630855043709,1630855043699,"['3919.89', '0.032']","['3926.05', '0.010']"
129,722823590005,1630855043709,1630855043699,"['3919.87', '0.378']","['3926.06', '12.744']"
130,722823590005,1630855043709,1630855043699,"['3919.85', '0.306']","['3926.09', '1.834']"
131,722823590005,1630855043709,1630855043699,"['3919.83', '4.414']","['3926.10', '3.910']"
132,722823590005,1630855043709,1630855043699,"['3919.82', '15.000']","['3926.11', '8.307']"
133,722823590005,1630855043709,1630855043699,"['3919.80', '0.100']","['3926.12', '2.780']"
134,722823590005,1630855043709,1630855043699,"['3919.79', '0.031']","['3926.15', '0.204']"
135,722823590005,1630855043709,1630855043699,"['3919.69', '2.142']","['3926.16', '4.066']"
136,722823590005,1630855043709,1630855043699,"['3919.68', '0.495']","['3926.19', '0.992']"
137,722823590005,1630855043709,1630855043699,"['3919.67', '0.051']","['3926.20', '0.010']"
138,722823590005,1630855043709,1630855043699,"['3919.63', '0.482']","['3926.21', '0.995']"
139,722823590005,1630855043709,1630855043699,"['3919.61', '1.692']","['3926.22', '0.509']"
140,722823590005,1630855043709,1630855043699,"['3919.60', '5.895']","['3926.23', '0.451']"
141,722823590005,1630855043709,1630855043699,"['3919.59', '39.964']","['3926.25', '4.383']"
142,722823590005,1630855043709,1630855043699,"['3919.56', '0.111']","['3926.26', '16.822']"
143,722823590005,1630855043709,1630855043699,"['3919.54', '0.127']","['3926.28', '1.274']"
144,722823590005,1630855043709,1630855043699,"['3919.53', '0.032']","['3926.30', '15.954']"
145,722823590005,1630855043709,1630855043699,"['3919.49', '7.650']","['3926.34', '2.551']"
146,722823590005,1630855043709,1630855043699,"['3919.48', '30.000']","['3926.35', '0.451']"
147,722823590005,1630855043709,1630855043699,"['3919.47', '2.208']","['3926.36', '11.196']"
148,722823590005,1630855043709,1630855043699,"['3919.46', '1.663']","['3926.37', '42.814']"
149,722823590005,1630855043709,1630855043699,"['3919.45', '0.401']","['3926.39', '0.100']"
150,722823590005,1630855043709,1630855043699,"['3919.44', '0.087']","['3926.40', '0.003']"
151,722823590005,1630855043709,1630855043699,"['3919.42', '0.016']","['3926.41', '0.527']"
152,722823590005,1630855043709,1630855043699,"['3919.41', '19.490']","['3926.42', '2.335']"
153,722823590005,1630855043709,1630855043699,"['3919.33', '0.131']","['3926.43', '0.005']"
154,722823590005,1630855043709,1630855043699,"['3919.31', '1.274']","['3926.44', '4.000']"
155,722823590005,1630855043709,1630855043699,"['3919.30', '0.100']","['3926.45', '0.025']"
156,722823590005,1630855043709,1630855043699,"['3919.28', '0.097']","['3926.46', '16.245']"
157,722823590005,1630855043709,1630855043699,"['3919.22', '4.054']","['3926.47', '4.396']"
158,722823590005,1630855043709,1630855043699,"['3919.21', '0.020']","['3926.48', '0.053']"
159,722823590005,1630855043709,1630855043699,"['3919.19', '4.732']","['3926.49', '0.024']"
160,722823590005,1630855043709,1630855043699,"['3919.18', '1.605']","['3926.50', '0.581']"
161,722823590005,1630855043709,1630855043699,"['3919.14', '0.529']","['3926.51', '6.142']"
162,722823590005,1630855043709,1630855043699,"['3919.13', '0.032']","['3926.52', '37.000']"
163,722823590005,1630855043709,1630855043699,"['3919.12', '1.930']","['3926.53', '40.000']"
164,722823590005,1630855043709,1630855043699,"['3919.11', '1.020']","['3926.54', '0.269']"
165,722823590005,1630855043709,1630855043699,"['3919.09', '12.822']","['3926.56', '2.000']"
166,722823590005,1630855043709,1630855043699,"['3919.08', '28.269']","['3926.59', '2.551']"
167,722823590005,1630855043709,1630855043699,"['3919.05', '1.800']","['3926.60', '0.111']"
168,722823590005,1630855043709,1630855043699,"['3919.04', '2.000']","['3926.61', '0.515']"
169,722823590005,1630855043709,1630855043699,"['3919.03', '0.600']","['3926.63', '1.194']"
170,722823590005,1630855043709,1630855043699,"['3919.00', '5.013']","['3926.64', '0.007']"
171,722823590005,1630855043709,1630855043699,"['3918.99', '7.076']","['3926.65', '0.066']"
172,722823590005,1630855043709,1630855043699,"['3918.98', '0.024']","['3926.69', '138.670']"
173,722823590005,1630855043709,1630855043699,"['3918.95', '30.969']","['3926.72', '4.000']"
174,722823590005,1630855043709,1630855043699,"['3918.94', '2.257']","['3926.73', '15.974']"
175,722823590005,1630855043709,1630855043699,"['3918.91', '0.013']","['3926.74', '2.102']"
176,722823590005,1630855043709,1630855043699,"['3918.87', '1.600']","['3926.79', '0.231']"
177,722823590005,1630855043709,1630855043699,"['3918.86', '1.500']","['3926.80', '1.274']"
178,722823590005,1630855043709,1630855043699,"['3918.85', '0.043']","['3926.81', '2.555']"
179,722823590005,1630855043709,1630855043699,"['3918.84', '3.945']","['3926.82', '2.000']"
180,722823590005,1630855043709,1630855043699,"['3918.83', '105.111']","['3926.84', '0.066']"
181,722823590005,1630855043709,1630855043699,"['3918.82', '0.100']","['3926.85', '32.843']"
182,722823590005,1630855043709,1630855043699,"['3918.70', '2.155']","['3926.86', '0.683']"
183,722823590005,1630855043709,1630855043699,"['3918.68', '3.409']","['3926.88', '0.002']"
184,722823590005,1630855043709,1630855043699,"['3918.64', '0.032']","['3926.90', '5.000']"
185,722823590005,1630855043709,1630855043699,"['3918.63', '0.002']","['3926.91', '0.002']"
186,722823590005,1630855043709,1630855043699,"['3918.62', '3.456']","['3926.93', '3.828']"
187,722823590005,1630855043709,1630855043699,"['3918.61', '0.088']","['3926.94', '0.650']"
188,722823590005,1630855043709,1630855043699,"['3918.60', '0.100']","['3926.95', '0.030']"
189,722823590005,1630855043709,1630855043699,"['3918.59', '0.155']","['3926.97', '0.010']"
190,722823590005,1630855043709,1630855043699,"['3918.58', '0.904']","['3926.98', '3.827']"
191,722823590005,1630855043709,1630855043699,"['3918.57', '0.064']","['3926.99', '0.366']"
192,722823590005,1630855043709,1630855043699,"['3918.54', '1.930']","['3927.00', '43.167']"
193,722823590005,1630855043709,1630855043699,"['3918.53', '0.029']","['3927.02', '35.854']"
194,722823590005,1630855043709,1630855043699,"['3918.52', '0.793']","['3927.03', '0.037']"
195,722823590005,1630855043709,1630855043699,"['3918.51', '0.004']","['3927.05', '0.100']"
196,722823590005,1630855043709,1630855043699,"['3918.46', '1.000']","['3927.09', '0.018']"
197,722823590005,1630855043709,1630855043699,"['3918.45', '0.040']","['3927.10', '0.178']"
198,722823590005,1630855043709,1630855043699,"['3918.44', '0.500']","['3927.12', '0.002']"
199,722823590005,1630855043709,1630855043699,"['3918.42', '2.429']","['3927.13', '5.000']"
200,722823590005,1630855043709,1630855043699,"['3918.40', '2.820']","['3927.14', '0.258']"
201,722823590005,1630855043709,1630855043699,"['3918.39', '0.150']","['3927.15', '0.520']"
